City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-09-07 03:51:26,light rain,-23.1203,-134.9692,72.86,76,100,25.97
1,Saint George,US,2022-09-07 03:56:23,broken clouds,37.1041,-113.5841,99.63,16,53,4.76
2,Shamkhal,RU,2022-09-07 03:57:03,light rain,43.0596,47.3373,59.02,90,100,6.31
3,Hobart,AU,2022-09-07 03:54:01,broken clouds,-42.8794,147.3294,57.06,64,75,10.36
4,Busselton,AU,2022-09-07 03:57:04,broken clouds,-33.65,115.3333,62.53,59,83,10.25
5,Rocha,UY,2022-09-07 03:56:26,scattered clouds,-34.4833,-54.3333,51.67,99,26,5.12
6,Guerrero Negro,MX,2022-09-07 03:54:18,clear sky,27.9769,-114.0611,81.09,72,5,4.5
7,Ushuaia,AR,2022-09-07 03:57:04,light snow,-54.8,-68.3,29.86,93,75,12.66
8,Severo-Yeniseyskiy,RU,2022-09-07 03:57:05,overcast clouds,60.3725,93.0408,46.98,72,99,1.66
9,Bredasdorp,ZA,2022-09-07 03:57:05,few clouds,-34.5322,20.0403,44.28,90,21,2.44
10,Jever,DE,2022-09-07 03:57:06,moderate rain,53.5833,7.9,60.03,88,100,5.5
11,Albany,US,2022-09-07 03:54:19,overcast clouds,42.6001,-73.9662,63.39,95,100,1.21
12,Beringovskiy,RU,2022-09-07 03:57:06,overcast clouds,63.05,179.3167,42.13,82,100,15.32
13,Faanui,PF,2022-09-07 03:57:07,clear sky,-16.4833,-151.75,78.46,75,8,18.84
14,Sarlat-La-Caneda,FR,2022-09-07 03:57:07,broken clouds,44.889,1.2166,60.3,86,53,1.32
15,Madingou,CG,2022-09-07 03:57:08,broken clouds,-4.1536,13.55,74.57,75,55,4.0
16,Kaeo,NZ,2022-09-07 03:57:08,broken clouds,-35.1,173.7833,55.4,62,62,4.25
17,Kuruman,ZA,2022-09-07 03:57:08,clear sky,-27.4524,23.4325,53.28,18,0,9.86
18,Erdaojiang,CN,2022-09-07 03:57:09,clear sky,41.7764,126.0319,69.13,51,0,10.0
19,Nizhniy Tsasuchey,RU,2022-09-07 03:57:09,broken clouds,50.5167,115.1333,74.5,35,62,14.23
20,Vaini,TO,2022-09-07 03:47:14,broken clouds,-21.2,-175.2,82.56,89,75,6.91
21,Inhambane,MZ,2022-09-07 03:57:10,overcast clouds,-23.865,35.3833,69.98,78,99,14.27
22,Necochea,AR,2022-09-07 03:57:10,few clouds,-38.5473,-58.7368,51.8,74,20,10.87
23,Pochutla,MX,2022-09-07 03:57:11,overcast clouds,15.7432,-96.4661,77.83,91,100,3.06
24,Leningradskiy,RU,2022-09-07 03:57:11,overcast clouds,69.3833,178.4167,43.03,65,100,4.94
25,Mataura,NZ,2022-09-07 03:57:11,overcast clouds,-46.1927,168.8643,41.49,96,90,4.29
26,Castro,BR,2022-09-07 03:57:12,overcast clouds,-24.7911,-50.0119,53.67,98,100,10.54
27,Djibo,BF,2022-09-07 03:57:12,moderate rain,14.1022,-1.6306,76.95,77,99,11.79
28,Sao Filipe,CV,2022-09-07 03:57:13,light rain,14.8961,-24.4956,79.11,85,100,8.12
29,Nouadhibou,MR,2022-09-07 03:54:47,clear sky,20.931,-17.0347,75.18,73,7,19.57
30,Mishkino,RU,2022-09-07 03:57:13,overcast clouds,55.3389,63.9175,48.45,65,96,12.41
31,Dikson,RU,2022-09-07 03:56:22,light rain,73.5069,80.5464,37.33,81,100,19.86
32,Fairbanks,US,2022-09-07 03:56:44,scattered clouds,64.8378,-147.7164,57.6,74,41,2.64
33,Varkaus,FI,2022-09-07 03:57:14,overcast clouds,62.3153,27.873,41.31,93,100,6.35
34,Bluff,NZ,2022-09-07 03:57:14,broken clouds,-46.6,168.3333,41.81,72,83,11.68
35,Ottumwa,US,2022-09-07 03:57:14,clear sky,41.02,-92.4113,69.89,79,1,1.01
36,Lisala,CD,2022-09-07 03:57:15,broken clouds,2.15,21.5167,69.3,99,68,0.98
37,Hermanus,ZA,2022-09-07 03:57:15,scattered clouds,-34.4187,19.2345,48.79,80,31,6.91
38,Bikaner,IN,2022-09-07 03:57:16,few clouds,28.0167,73.3,91.76,40,12,4.52
39,Port Elizabeth,ZA,2022-09-07 03:54:02,broken clouds,-33.918,25.5701,50.31,91,75,3.44
40,Belmonte,BR,2022-09-07 03:57:16,overcast clouds,-15.8631,-38.8828,70.11,79,86,9.73
41,Qaanaaq,GL,2022-09-07 03:55:07,overcast clouds,77.484,-69.3632,35.47,90,100,5.37
42,Te Anau,NZ,2022-09-07 03:48:22,overcast clouds,-45.4167,167.7167,42.37,95,100,2.37
43,Yellowknife,CA,2022-09-07 03:52:52,few clouds,62.456,-114.3525,50.56,66,20,8.05
44,Bambous Virieux,MU,2022-09-07 03:58:17,scattered clouds,-20.3428,57.7575,70.21,72,40,3.44
45,Pangnirtung,CA,2022-09-07 03:58:18,overcast clouds,66.1451,-65.7125,39.07,79,100,5.75
46,Gamba,GA,2022-09-07 03:58:18,overcast clouds,-2.65,10.0,74.17,84,87,6.31
47,Saint-Philippe,RE,2022-09-07 03:54:04,scattered clouds,-21.3585,55.7679,69.39,70,27,10.16
48,Lantawan,PH,2022-09-07 03:58:19,overcast clouds,10.6167,123.9833,85.69,72,100,5.1
49,Port Lincoln,AU,2022-09-07 03:58:19,overcast clouds,-34.7333,135.8667,61.7,73,92,13.42
50,Riyadh,SA,2022-09-07 03:53:48,clear sky,24.6877,46.7219,80.74,12,0,1.07
51,Itaituba,BR,2022-09-07 03:58:20,broken clouds,-4.2761,-55.9836,75.51,78,58,1.66
52,Mount Isa,AU,2022-09-07 03:54:11,clear sky,-20.7333,139.5,91.17,15,4,14.97
53,Vostok,RU,2022-09-07 03:58:20,overcast clouds,46.4856,135.8833,53.22,71,98,19.8
54,Udachnyy,RU,2022-09-07 03:58:21,broken clouds,66.4167,112.4,44.46,75,61,15.28
55,San Patricio,US,2022-09-07 03:58:21,overcast clouds,28.017,-97.5169,82.89,85,100,4.92
56,Vagur,FO,2022-09-07 03:58:21,overcast clouds,61.4732,-6.8119,53.62,92,97,21.41
57,Puerto Rondon,CO,2022-09-07 03:58:22,overcast clouds,6.2805,-71.1,72.45,91,94,3.56
58,Ciudad Guayana,VE,2022-09-07 03:58:22,overcast clouds,8.3533,-62.6528,73.78,96,100,2.51
59,Cape Girardeau,US,2022-09-07 03:58:23,broken clouds,37.3834,-89.7168,71.02,90,59,6.8
60,Jamestown,US,2022-09-07 03:58:23,overcast clouds,42.097,-79.2353,63.52,68,100,1.99
61,Mackenzie,CA,2022-09-07 03:58:23,overcast clouds,55.2999,-123.1698,52.02,93,100,2.3
62,Mandalgovi,MN,2022-09-07 03:58:24,clear sky,45.7625,106.2708,76.3,17,1,9.19
63,Mumford,GH,2022-09-07 03:58:24,overcast clouds,5.2618,-0.759,73.13,94,100,6.8
64,Skibotn,NO,2022-09-07 03:58:24,overcast clouds,69.3913,20.2679,45.61,92,100,0.65
65,Carnarvon,AU,2022-09-07 03:56:27,broken clouds,-24.8667,113.6333,67.57,50,73,7.07
66,Mecca,SA,2022-09-07 03:58:25,scattered clouds,21.4267,39.8261,87.06,48,45,4.81
67,Tasiilaq,GL,2022-09-07 03:49:50,broken clouds,65.6145,-37.6368,39.36,90,54,5.99
68,Namatanai,PG,2022-09-07 03:58:25,light rain,-3.6667,152.4333,84.92,68,33,9.19
69,Port Alfred,ZA,2022-09-07 03:49:49,clear sky,-33.5906,26.891,55.99,82,0,5.79
70,Punta Arenas,CL,2022-09-07 03:53:58,clear sky,-53.15,-70.9167,32.11,80,0,16.11
71,Ossora,RU,2022-09-07 03:58:26,clear sky,59.2353,163.0719,54.73,53,2,8.48
72,Kondoa,TZ,2022-09-07 03:58:27,few clouds,-4.9,35.7833,57.63,84,20,4.34
73,Itarema,BR,2022-09-07 03:58:27,few clouds,-2.9248,-39.9167,78.37,79,17,15.66
74,Geraldton,AU,2022-09-07 03:56:23,broken clouds,-28.7667,114.6,66.61,59,75,9.22
75,Namibe,AO,2022-09-07 03:58:27,overcast clouds,-15.1961,12.1522,62.58,90,94,4.9
76,Adrar,MR,2022-09-07 03:58:28,broken clouds,20.5022,-10.0711,93.18,17,62,13.35
77,Jackson,US,2022-09-07 03:58:28,broken clouds,42.4165,-122.8345,88.75,38,57,1.48
78,Narsaq,GL,2022-09-07 03:58:28,overcast clouds,60.9167,-46.05,45.7,92,88,1.07
79,Iqaluit,CA,2022-09-07 03:58:29,light rain,63.7506,-68.5145,42.53,81,100,9.22
80,Suzdal,RU,2022-09-07 03:58:29,overcast clouds,56.4281,40.4414,43.75,89,100,9.75
81,Thompson,CA,2022-09-07 03:51:25,scattered clouds,55.7435,-97.8558,55.56,76,40,9.22
82,Wukari,NG,2022-09-07 03:56:19,overcast clouds,7.85,9.7833,71.76,97,99,5.64
83,Bengkulu,ID,2022-09-07 03:58:30,overcast clouds,-3.8004,102.2655,80.26,70,100,5.77
84,Coquimbo,CL,2022-09-07 03:58:30,overcast clouds,-29.9533,-71.3436,51.53,100,100,2.3
85,Nishihara,JP,2022-09-07 03:58:30,scattered clouds,26.1842,127.7558,85.28,62,40,17.27
86,Ilulissat,GL,2022-09-07 03:58:31,light rain,69.2167,-51.1,36.07,97,100,2.89
87,Hobyo,SO,2022-09-07 03:58:31,few clouds,5.3505,48.5268,76.42,80,22,23.98
88,Shimoda,JP,2022-09-07 03:58:31,overcast clouds,34.6667,138.95,86.36,84,99,2.77
89,Arraial Do Cabo,BR,2022-09-07 03:51:25,overcast clouds,-22.9661,-42.0278,67.69,72,98,20.4
90,Mahebourg,MU,2022-09-07 03:58:32,scattered clouds,-20.4081,57.7,70.25,72,40,3.44
91,Locri,IT,2022-09-07 03:58:32,clear sky,38.2414,16.2623,73.31,50,5,5.59
92,Pingliang,CN,2022-09-07 03:58:33,scattered clouds,35.5392,106.6861,75.54,43,48,12.53
