City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saint George,US,99.63,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
38,Bikaner,IN,91.76,few clouds,28.0167,73.3,The Laxmi Niwas Palace
48,Lantawan,PH,85.69,overcast clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
52,Mount Isa,AU,91.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
66,Mecca,SA,87.06,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
76,Adrar,MR,93.18,broken clouds,20.5022,-10.0711,
77,Jackson,US,88.75,broken clouds,42.4165,-122.8345,Agate Village Apartments
85,Nishihara,JP,85.28,scattered clouds,26.1842,127.7558,Minshuku Agaihama
88,Shimoda,JP,86.36,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
112,Huilong,CN,85.21,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
113,Raiwala,IN,87.48,clear sky,30.0167,78.2167,Hotel The Great Ananda
114,Pili,PH,85.33,overcast clouds,13.5833,123.3,Moraville Drive-In Hotel
123,Laguna,US,98.76,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
129,Kapaa,US,85.98,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
130,Hilo,US,85.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
136,Fortuna Foothills,US,92.21,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
144,Saint Pete Beach,US,86.02,few clouds,27.7253,-82.7412,Sirata Beach Resort
159,Sur,OM,85.57,clear sky,22.5667,59.5289,Sur Plaza Hotel
161,Hengshui,CN,85.3,clear sky,37.7322,115.7011,Eaka Hotel Hengshui Railway Station Branch
175,Bilma,NE,89.15,clear sky,18.6853,12.9164,Expeditions Ténére voyages
179,Kununurra,AU,96.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
199,Gushikawa,JP,85.23,broken clouds,26.3544,127.8686,Kirari Guest House
201,Shu,KZ,86.76,clear sky,43.5983,73.7614,Shyngyzkhan
204,Kiunga,PG,90.36,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
218,Lorengau,PG,85.41,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
221,Sungairaya,ID,88.25,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
